Region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,PRODUCT,2009_sigma,2010_sigma,2011_sigma,2012_sigma,2013_sigma,2014_sigma,2015_sigma,2016_sigma,2017_sigma,2018_sigma,2019_sigma,2020_sigma
Africa,279.8,300.3,293.2,319.0,288.3,304.9,257.1,199.2,237.2,211.7,176.8,195.0,CAN,27.980000000000004,30.03,29.32,31.900000000000002,28.830000000000002,30.49,25.710000000000004,19.92,23.72,21.17,17.680000000000003,19.5
Middle East,1024.5,994.3,1121.0,773.4,713.7,763.0999999999999,525.1,521.6,782.4,1022.7,1382.1,1498.8,CAN,102.45,99.43,112.10000000000001,77.34,71.37,76.30999999999999,52.510000000000005,52.160000000000004,78.24000000000001,102.27000000000001,138.21,149.88
South Asia,472.5,628.0,706.1,589.4,536.5,493.9,690.3,629.0,612.9,475.0,403.4,757.8,CAN,47.25,62.800000000000004,70.61,58.94,53.650000000000006,49.39,69.03,62.900000000000006,61.29,47.5,40.34,75.78
North East Asia,259.3,314.8,333.3,351.9,370.4,388.9,370.4,388.9,370.4,333.3,333.3,333.3,CAN,25.930000000000003,31.480000000000004,33.330000000000005,35.19,37.04,38.89,37.04,38.89,37.04,33.330000000000005,33.330000000000005,33.330000000000005
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,10766.5,10659.5,11252.099999999999,10646.500000000002,11020.2,11878.5,11668.7,11770.500000000002,12017.699999999999,11508.8,11445.099999999999,11614.2,CAN,1076.65,1065.95,1125.2099999999998,1064.6500000000003,1102.0200000000002,1187.8500000000001,1166.8700000000001,1177.0500000000002,1201.77,1150.8799999999999,1144.51,1161.42
Former USSR,11692.4,11543.7,12939.7,13225.6,11876.7,11955.2,12631.2,13464.0,13604.1,13612.6,15264.8,16583.0,UREA,1169.24,1154.3700000000001,1293.9700000000003,1322.5600000000002,1187.67,1195.5200000000002,1263.1200000000001,1346.4,1360.41,1361.2600000000002,1526.48,1658.3000000000002
North America,9677.4,9833.7,10255.8,10005.5,9992.0,9826.5,10077.7,11589.0,12729.5,14399.7,14911.8,15571.3,UREA,967.74,983.3700000000001,1025.58,1000.5500000000001,999.2,982.6500000000001,1007.7700000000001,1158.9,1272.95,1439.9700000000003,1491.18,1557.13
Latin America,4739.1,5060.799999999999,5464.199999999999,5044.799999999999,4554.0,4223.1,4458.6,4834.699999999999,4488.599999999999,3637.9,3430.9,3045.2,UREA,473.9100000000001,506.0799999999999,546.42,504.47999999999996,455.40000000000003,422.31000000000006,445.86000000000007,483.4699999999999,448.85999999999996,363.79,343.09000000000003,304.52
Africa,5602.1,5951.3,5259.599999999999,4807.2,4762.200000000001,4499.4,4897.700000000001,8132.7,9591.0,11463.7,11085.6,11647.1,UREA,560.21,595.13,525.9599999999999,480.72,476.2200000000001,449.94,489.7700000000001,813.27,959.1,1146.3700000000001,1108.5600000000002,1164.71
Middle East,14302.5,16087.1,17473.6,18305.7,20131.1,19457.5,21287.2,22765.5,23292.0,24164.7,23085.9,23507.1,UREA,1430.25,1608.71,1747.36,1830.5700000000002,2013.11,1945.75,2128.7200000000003,2276.55,2329.2000000000003,2416.4700000000003,2308.59,2350.71
South Asia,27886.2,28264.8,28718.4,27985.4,29325.7,28954.7,30486.8,31796.6,30881.5,30988.9,31986.1,33041.2,UREA,2788.6200000000003,2826.48,2871.84,2798.5400000000004,2932.57,2895.4700000000003,3048.6800000000003,3179.66,3088.15,3098.8900000000003,3198.61,3304.12
